,NK,population,softmax param,mutation rate,results
51,"(20, 10)",50,10.0,0.01,"[[10.399295  11.872297  10.287474  ... 10.330953   8.345739   7.6625896]
 [ 9.23114   10.000389  14.776782  ... 10.044459   9.281626  10.924884 ]
 [11.010122  12.403525  12.933105  ... 13.401779  12.101864  12.101864 ]
 ...
 [ 9.715503  10.687478  11.871451  ... 13.391787  13.391787   9.105375 ]
 [12.867957  11.6245775 12.259743  ...  9.549412  16.473053  16.473053 ]
 [ 7.5709295  7.7097898  9.713027  ... 11.536439   9.641344  12.251685 ]]"
52,"(20, 10)",50,1.0,0.1,"[[10.139126  11.794058  11.794058  ... 16.128452  16.128452  16.128452 ]
 [13.091209  13.091209  13.091209  ... 17.519781  17.519781  17.519781 ]
 [11.765096  11.765096  11.765096  ... 19.085127  19.085127  19.085127 ]
 ...
 [ 9.615946  10.251624  10.117184  ... 18.241531  18.241531  18.241531 ]
 [ 9.3394985 11.345644  11.345644  ... 16.033943  16.033943  16.033943 ]
 [14.444993  14.444993  14.444993  ... 14.211285  14.211285  15.198349 ]]"
53,"(20, 10)",50,1.0,0.07,"[[10.139126  11.794058  11.794058  ... 24.443813  24.443813  24.443813 ]
 [13.091209  12.724013  12.724013  ... 16.561346  15.461245  15.461245 ]
 [12.741425  12.741425  12.741425  ... 19.371449  15.707181  15.707181 ]
 ...
 [ 9.615946  10.251624  10.117184  ... 18.273077  18.273077  18.273077 ]
 [ 7.1771846 10.138535  10.138535  ... 15.372193  15.372193  15.372193 ]
 [ 7.5709295 14.771629  13.32502   ... 17.29237   17.29237   17.29237  ]]"
54,"(20, 10)",50,1.0,0.03,"[[10.139126  11.794058  10.570442  ... 12.907867  12.907867  11.56789  ]
 [13.091209  12.259365  12.259365  ...  8.939736   9.937595  11.726746 ]
 [ 9.7234745 14.226631  14.420511  ... 11.391283  10.2299185 13.96649  ]
 ...
 [ 9.318024  12.074099  13.141409  ... 16.879835  16.879835  16.879835 ]
 [11.245243   9.618379   9.894718  ... 17.872585  11.681607  13.969204 ]
 [ 7.5709295 13.283285  14.557792  ... 12.462774  12.343716  13.224272 ]]"
55,"(20, 10)",50,1.0,0.01,"[[10.399295  11.872297  10.287474  ... 11.64224   10.612112   9.189547 ]
 [ 9.23114   11.849227  11.849227  ... 16.945518  11.914306  11.914306 ]
 [ 8.597236  10.22007    9.809173  ... 12.467574  11.751867  11.751867 ]
 ...
 [ 9.099829   8.764116  16.686987  ...  8.142046  10.834072   8.610094 ]
 [12.867957  11.6245775 12.259743  ...  9.448169  12.844311  11.9369335]
 [ 7.5709295 11.939711   9.252762  ...  8.422305  13.102557  10.884261 ]]"
56,"(20, 10)",50,0.1,0.1,"[[12.030792  14.437297   9.810368  ... 12.469444   8.867853  10.0613165]
 [10.696443   9.911893   9.588685  ...  9.477112  11.97582   10.436251 ]
 [ 7.7140517 11.091712  12.484502  ... 13.815986  13.744245  11.498551 ]
 ...
 [ 9.615946   9.39007    9.188192  ...  8.08808   11.565303  12.723362 ]
 [ 7.003828   9.097482   8.891242  ... 10.151123  13.666038   9.210777 ]
 [ 6.296355   8.005792   6.296355  ...  9.458929  13.195929   9.697694 ]]"
57,"(20, 10)",50,0.1,0.07,"[[12.709482   8.297341  11.116327  ... 10.487826  10.075061  10.487826 ]
 [10.696443   9.050305  10.359489  ...  9.71258    9.71258   10.5005045]
 [12.741425  12.741425  10.507171  ... 13.282901  12.514527   6.971856 ]
 ...
 [ 9.615946   9.214506  12.483004  ... 11.963349   8.498532   9.932741 ]
 [ 7.003828   9.097482   8.995346  ... 14.559789  13.670832   8.672727 ]
 [ 6.296355   8.376498  11.406999  ... 10.037835  10.490719  10.490719 ]]"
58,"(20, 10)",50,0.1,0.03,"[[12.709482  14.437297   6.7301674 ... 10.119331  11.060186  13.04549  ]
 [10.696443   9.349822  14.162626  ... 12.025086   9.51478   10.773597 ]
 [13.540641  14.214606   8.296123  ...  8.935761  10.833034  10.463909 ]
 ...
 [ 8.282622   6.2613335  7.8215504 ...  9.797812   9.465333   9.004552 ]
 [ 9.618379  12.882682   8.311055  ... 10.625926  15.960058   8.287568 ]
 [ 8.307611   9.797911   7.7333655 ... 12.802962  10.806436  13.584439 ]]"
59,"(20, 10)",50,0.1,0.01,"[[12.709482   7.949168   6.925947  ...  9.780558  11.638296  11.263245 ]
 [ 9.23114    7.8781147 16.095108  ...  8.800598  12.91273    7.7494807]
 [11.171585  14.214606   8.687374  ... 12.234212  11.259457   9.142315 ]
 ...
 [ 8.037108   8.022694   8.853102  ... 10.148963  15.207676  12.860045 ]
 [ 9.974662   8.327141   9.06562   ...  9.718205  10.203369   9.794426 ]
 [10.510328   9.787047  10.260816  ... 14.066103  10.607784   8.64384  ]]"
60,"(20, 10)",50,0.01,0.1,"[[12.030792  12.147104  14.910632  ... 13.255984   7.785681  12.206772 ]
 [10.696443   9.2115345 10.725211  ... 10.625514  12.538104   7.9534497]
 [ 7.7140517  8.604597   9.416207  ... 11.369974  10.707121   9.069141 ]
 ...
 [ 6.8090067  9.704218   9.383789  ... 11.141462  10.679704  10.679704 ]
 [ 7.003828   8.28171   17.613676  ...  8.663461   8.964929   9.5580845]
 [ 7.9564056  9.034863   9.914197  ...  8.980333  10.562886  10.997305 ]]"
61,"(20, 10)",50,0.01,0.07,"[[12.030792  15.926516   8.977345  ...  8.87134    8.580584   9.529383 ]
 [10.696443  11.994908  10.725211  ... 14.319386  11.759031  10.645255 ]
 [12.741425   9.339273   8.076397  ...  9.326862   9.814519  11.449334 ]
 ...
 [ 6.8090067  9.704218   9.828501  ... 11.344688   8.197762  15.51927  ]
 [ 7.003828   8.360647  17.613676  ... 12.234287   9.747599  13.684404 ]
 [ 6.296355  11.025908  11.406999  ... 12.160668   9.768888   9.768888 ]]"
62,"(20, 10)",50,0.01,0.03,"[[12.030792  11.687996  13.071334  ...  9.814135   7.525952  12.112374 ]
 [10.696443   8.558487  13.894467  ...  9.000618  14.572675   9.963699 ]
 [13.540641  10.7416525 10.344673  ... 11.598224  12.671387  10.76064  ]
 ...
 [ 8.666274   8.832205   9.570812  ...  8.235056   7.6192665  9.6377125]
 [ 9.16579   10.21504    8.246555  ...  8.954182   8.55665   10.016302 ]
 [ 8.307611  10.041425   9.2618475 ... 10.689281   7.1618443  7.2203455]]"
63,"(20, 10)",50,0.01,0.01,"[[11.9594755 11.687996  10.4632435 ...  8.884654  12.113676  10.064331 ]
 [11.110746   7.1774964 16.095108  ...  9.824535   9.741826  12.331062 ]
 [ 7.8934345  8.312013  10.03042   ... 11.854104   9.287053   8.958159 ]
 ...
 [ 8.037108  14.713388   8.0126095 ...  8.447664   9.905211   7.562538 ]
 [13.086999  13.514612  11.298303  ... 11.577405   8.475044  10.5300865]
 [10.510328  13.376652   9.945175  ...  8.380932  10.238444   9.129946 ]]"
64,"(20, 10)",100,10.0,0.1,"[[10.932292 15.004747 15.004747 ... 15.082164 15.082164 15.082164]
 [11.370483 13.034036 13.034036 ... 16.169847 16.169847 16.169847]
 [ 9.769031 13.290524 13.290524 ... 18.524256 18.524256 18.524256]
 ...
 [ 9.307187 10.27397  12.871953 ... 17.244907 17.244907 17.244907]
 [ 9.618379 10.305316 11.893424 ... 16.258783 16.258783 16.258783]
 [14.14069  14.14069  14.14069  ... 17.951777 17.951777 17.951777]]"
65,"(20, 10)",100,10.0,0.07,"[[10.932292 12.85442  15.004747 ... 15.004747 15.004747 15.004747]
 [12.100623 12.49003  12.49003  ... 18.222656 18.222656 18.222656]
 [ 9.769031 10.14597  12.340728 ... 18.051691 18.051691 18.051691]
 ...
 [ 9.307187 15.296192 15.296192 ... 18.221529 18.221529 18.221529]
 [ 9.618379  9.618379  9.618379 ... 16.653454 16.653454 16.653454]
 [14.14069  14.14069  14.14069  ... 17.951777 17.951777 17.951777]]"
66,"(20, 10)",100,10.0,0.03,"[[13.4625225 13.891962  13.891962  ... 17.658075  17.658075  17.658075 ]
 [11.849227  12.317199  12.773909  ... 17.688826  17.688826  17.688826 ]
 [ 9.769031  13.251799  14.887686  ... 15.540972  15.540972  15.9774   ]
 ...
 [10.23961   11.256395  13.253886  ... 19.266275  19.266275  13.469757 ]
 [ 9.618379  11.533861  13.028348  ... 13.842047  13.842047  13.842047 ]
 [14.14069   14.14069   14.14069   ... 17.17714   14.073523  17.17714  ]]"
67,"(20, 10)",100,10.0,0.01,"[[13.4625225 13.4625225  9.698095  ... 15.248251  13.018812  17.550207 ]
 [ 8.703931  10.3256    10.46746   ... 11.262681  11.71261   14.683059 ]
 [ 9.409141  13.251799  11.908876  ... 11.535603  10.700384  10.700384 ]
 ...
 [12.902831   8.489249  15.142186  ... 14.364111  13.656467  18.254826 ]
 [ 9.618379  11.536923  12.526908  ... 14.295872  13.428538  13.717045 ]
 [14.14069   14.14069   16.388199  ... 12.466367  14.087417   8.981391 ]]"
68,"(20, 10)",100,1.0,0.1,"[[12.683646 12.683646 12.683646 ... 24.443813 24.443813 24.443813]
 [11.370483 13.034036 13.034036 ... 16.169847 16.169847 16.169847]
 [ 9.397271 12.988393 12.988393 ... 19.501045 19.501045 19.501045]
 ...
 [ 9.307187  9.307187 15.296192 ... 15.296192 15.296192 15.296192]
 [ 9.618379 11.162613 12.403493 ... 17.909224 17.909224 17.909224]
 [12.984843 13.442213 13.442213 ... 16.876425 16.741531 16.741531]]"
69,"(20, 10)",100,1.0,0.07,"[[12.683646  12.683646  12.683646  ... 15.5019245 15.5019245 15.5019245]
 [12.100623  12.49003   12.100623  ... 17.688826  17.688826  17.688826 ]
 [ 9.315713  14.188147  14.188147  ... 15.853256  15.853256  15.853256 ]
 ...
 [ 9.307187  10.953823  15.296192  ... 18.221529  18.221529  18.221529 ]
 [ 9.618379  12.07325   12.974143  ... 17.761368  17.761368  17.761368 ]
 [12.984843  12.984843  12.984843  ... 16.929441  16.929441  16.929441 ]]"
70,"(20, 10)",100,1.0,0.03,"[[13.4625225 13.891962  13.891962  ... 16.778673  17.500875  17.500875 ]
 [11.849227  12.1282625 12.913338  ... 17.383083  17.383083  17.383083 ]
 [ 9.505931  10.561691  12.373945  ... 17.98711   17.98711   17.98711  ]
 ...
 [10.23961    9.792048  14.393707  ... 18.40282   18.40282   15.78598  ]
 [ 9.618379   9.618379  10.331658  ... 16.258783  16.258783  16.258783 ]
 [10.026883  12.984843  12.984843  ... 19.850346  17.623648  19.850346 ]]"
71,"(20, 10)",100,1.0,0.01,"[[13.4625225 12.488943  10.87216   ... 13.506287  13.600064  14.301266 ]
 [ 8.703931  12.2488365 12.2488365 ... 13.344179  13.344179  13.344179 ]
 [ 7.67485   10.115807  10.2833805 ... 11.538448  13.965693  13.965693 ]
 ...
 [12.902831   8.489249  11.707048  ... 17.975946  12.390206  10.349244 ]
 [ 9.618379  11.533861  12.526908  ... 14.967569   9.330843  13.6910095]
 [10.026883  11.884697  13.768002  ... 13.796753  11.462484  19.66393  ]]"
72,"(20, 10)",100,0.1,0.1,"[[12.128091  11.892048  11.892048  ... 10.750214  11.9609165  9.764731 ]
 [ 9.6580305 10.489173  12.227116  ... 10.351042  11.103825  14.431688 ]
 [10.798604  10.798604  10.798604  ... 10.96867   11.311521  12.949762 ]
 ...
 [ 9.102514   6.4445343  8.437596  ... 10.137446  13.106547  13.145164 ]
 [ 9.905017  10.679566   9.340908  ... 10.40233   13.976555  13.976555 ]
 [ 9.857304   9.857304  12.790221  ... 11.9102    13.320031  12.916956 ]]"
73,"(20, 10)",100,0.1,0.07,"[[12.128091  10.014677  10.775441  ... 11.573004   9.737992  12.688014 ]
 [12.100623  15.473756  14.806455  ... 10.943599  11.542454  11.033208 ]
 [ 9.85639   15.757691   8.811089  ... 10.6464815 12.537333   9.97172  ]
 ...
 [10.23961    5.386099  14.087033  ... 12.898832  11.929515  11.650354 ]
 [13.005984  13.224657   8.897016  ...  9.737613   9.695007  10.133606 ]
 [ 9.857304   9.857304  12.696124  ...  9.321186   9.51414   10.358587 ]]"
74,"(20, 10)",100,0.1,0.03,"[[ 9.35815  12.146255  9.214743 ... 10.684527 11.947185 11.947185]
 [11.849227 11.849227 12.601458 ... 14.623122  9.212635  9.557564]
 [10.504151  9.85639  12.657611 ... 11.560204  9.330926 11.590091]
 ...
 [10.360382  8.067021 11.330787 ... 10.640956 11.348045 11.709527]
 [11.93354  12.860665 14.21335  ... 10.180745 12.525202 16.5912  ]
 [12.984843 13.950517 13.643248 ...  8.459407  9.615337 11.886146]]"
75,"(20, 10)",100,0.1,0.01,"[[ 9.570541 13.479704  9.140533 ...  9.11792  14.271856 10.655968]
 [ 8.703931 15.283459  9.693672 ... 11.38817  10.761773 11.267932]
 [ 9.67172  12.666958 10.585972 ... 10.427853 10.760755 12.970443]
 ...
 [10.447035  9.653739  9.940811 ... 11.343487  9.787961  8.546765]
 [ 9.947393 11.4346   11.138272 ... 13.355711 10.487102 12.250859]
 [11.549087 11.33351  11.330951 ... 10.758883  9.91233  11.709894]]"
76,"(20, 10)",100,0.01,0.1,"[[12.128091  10.377755   9.348482  ... 16.23815   10.509188  10.509188 ]
 [ 9.6580305  9.087995   9.075104  ... 10.809841   7.5803795 13.960012 ]
 [11.084719  10.798604  10.326779  ... 13.8291855  9.241172  14.2218485]
 ...
 [13.413064  13.141409  13.389681  ... 10.8259735 14.20382   11.83749  ]
 [ 9.618379  11.322407  10.940389  ... 13.102424  11.398496  10.705705 ]
 [ 9.857304  10.564576  12.790221  ... 12.857639   9.40646   10.094528 ]]"
77,"(20, 10)",100,0.01,0.07,"[[12.128091  12.734167  12.80108   ... 11.623711  13.572254   9.45691  ]
 [12.100623  15.473756  14.194252  ... 12.968647   8.8952    11.879776 ]
 [11.084719   9.535201  11.46819   ... 10.8974495 10.3608465 12.129834 ]
 ...
 [10.23961    8.232659  10.027816  ... 12.467681  12.51799   10.7685175]
 [ 9.618379  11.322407  10.165804  ... 10.966065  10.510184   9.941666 ]
 [10.059372  10.142845  12.790221  ... 13.352261   8.177887   8.79616  ]]"
78,"(20, 10)",100,0.01,0.03,"[[10.689853 11.613442 14.810509 ...  8.469818 13.508362 11.394682]
 [11.849227 11.849227 14.194252 ... 11.96661  10.071842 12.101356]
 [11.084719  9.535201  9.71508  ... 13.028157 12.563071  9.206601]
 ...
 [10.360382 11.85457  10.794191 ...  9.690218 11.261482 11.570808]
 [11.93354   9.419428 11.562885 ... 10.851718 10.248329  9.55935 ]
 [12.984843 10.142845 10.72961  ... 10.390645 10.908662 12.309023]]"
79,"(20, 10)",100,0.01,0.01,"[[ 9.570541 11.152773 10.429224 ... 11.614264 12.585948 10.700123]
 [ 8.703931 15.283459 11.319185 ... 11.242477 10.930999 10.375733]
 [11.084719  8.976912 12.544704 ...  7.651754 12.518334 13.638595]
 ...
 [11.933966 13.558946  9.824083 ... 11.267858 11.042218 12.733709]
 [ 9.947393  9.632506 13.999012 ...  9.913465  9.837175  9.674507]
 [12.730671 12.219019 11.426014 ... 11.39366  10.103014 11.812978]]"
80,"(20, 10)",200,10.0,0.1,"[[13.541044 13.541044 13.541044 ... 19.06787  19.06787  19.06787 ]
 [13.034036 15.693282 17.790804 ... 17.790804 17.790804 17.790804]
 [10.859034 16.105577 17.67415  ... 20.766453 20.766453 20.766453]
 ...
 [ 8.611536 13.571726 16.6748   ... 17.906544 17.906544 17.906544]
 [13.181495 14.804116 14.804116 ... 18.52195  18.52195  18.52195 ]
 [10.657341 14.444993 15.297133 ... 19.478008 19.478008 19.478008]]"
81,"(20, 10)",200,10.0,0.07,"[[13.541044 13.541044 13.541044 ... 19.06787  19.06787  19.06787 ]
 [13.034036 15.54767  15.54767  ... 17.790804 17.790804 17.790804]
 [10.859034 16.105577 17.67415  ... 20.766453 20.766453 20.766453]
 ...
 [ 9.430845 14.833983 14.833983 ... 18.91043  18.91043  18.91043 ]
 [13.181495 14.133001 14.133001 ... 16.422264 16.422264 16.422264]
 [10.657341 12.699793 12.951441 ... 19.478008 19.478008 19.478008]]"
82,"(20, 10)",200,10.0,0.03,"[[13.541044  13.541044  13.541044  ... 15.815366  15.815366  15.815366 ]
 [12.57378   12.57378   12.57378   ... 18.04682   18.04682   18.04682  ]
 [ 9.409141  11.565532  12.7634945 ... 18.862694  18.862694  18.862694 ]
 ...
 [10.4313345 10.499533  11.819707  ... 18.221529  18.221529  18.221529 ]
 [15.643744  16.437761  16.437761  ... 16.614014  16.614014  16.614014 ]
 [11.145117  14.105398  14.105398  ... 16.808     16.808     16.808    ]]"
83,"(20, 10)",200,10.0,0.01,"[[13.410964  14.175258  14.842456  ... 18.72217   18.72217   18.72217  ]
 [13.987973  13.987973  13.987973  ... 12.808756  16.583338  16.583338 ]
 [11.629822  14.075922  14.075922  ... 14.231205  15.630514  15.630514 ]
 ...
 [11.095505  12.547712  12.547712  ... 17.20526   12.7238655 13.903325 ]
 [12.07325   12.403493  15.408128  ... 16.64069   16.64069   13.002897 ]
 [10.657341  11.476748  11.476748  ... 20.469166  20.469166  17.443077 ]]"
84,"(20, 10)",200,1.0,0.1,"[[13.11982   13.541601  15.229655  ... 17.851107  17.851107  17.851107 ]
 [13.034036  15.54767   15.54767   ... 17.790804  17.790804  17.790804 ]
 [13.403594  14.730213  14.730213  ... 17.373606  17.373606  17.373606 ]
 ...
 [ 7.547522  13.349025  14.383386  ... 18.188255  18.188255  18.188255 ]
 [13.079012  14.8869705 15.159826  ... 18.64349   18.64349   18.64349  ]
 [10.657341  12.223092  15.297133  ... 19.478008  19.478008  19.478008 ]]"
85,"(20, 10)",200,1.0,0.07,"[[10.900526  15.5019245 15.5019245 ... 20.055     20.055     20.055    ]
 [13.034036  15.54767   15.54767   ... 17.790804  17.790804  17.790804 ]
 [11.785542  14.730213  15.388008  ... 20.352673  20.352673  20.352673 ]
 ...
 [ 9.430845  14.833983  17.314459  ... 17.56878   17.56878   17.56878  ]
 [13.079012  13.079012  13.233689  ... 16.653454  16.653454  16.653454 ]
 [10.657341  12.699793  17.025412  ... 17.025412  17.025412  17.025412 ]]"
86,"(20, 10)",200,1.0,0.03,"[[ 9.61589   14.637068  14.99936   ... 17.085155  17.085155  17.085155 ]
 [12.57378   13.433051  13.433051  ... 17.801289  17.801289  17.801289 ]
 [10.688474  13.665128  13.920549  ... 19.085127  19.085127  19.085127 ]
 ...
 [10.4313345 13.810678  16.001184  ... 18.91043   18.91043   18.91043  ]
 [15.643744  16.437761  16.260828  ... 16.260828  16.260828  16.141745 ]
 [11.145117  12.350893  13.652797  ... 16.929441  16.929441  16.929441 ]]"
87,"(20, 10)",200,1.0,0.01,"[[11.202693  12.054319  13.02672   ... 11.328946  17.501022  17.501022 ]
 [13.987973  13.987973  13.599772  ... 13.352012  13.106628  13.753177 ]
 [11.100655  14.501159  14.501159  ... 13.416914  16.611454  16.611454 ]
 ...
 [11.095505  12.902831  12.902831  ... 16.001184  15.906796  15.906796 ]
 [12.860665  12.860665  13.5127735 ... 14.133001  14.2725725 13.144955 ]
 [10.657341  11.476748  13.541614  ... 17.317963  17.317963  14.346707 ]]"
88,"(20, 10)",200,0.1,0.1,"[[ 9.740002   9.365797  12.795553  ... 20.055     15.872622  14.111866 ]
 [13.034036  12.691097  14.480628  ... 12.321552  12.273986  10.6749735]
 [11.127872  12.989408  13.630073  ... 11.856281  13.724231  12.500955 ]
 ...
 [ 8.922732  10.234209  13.2336855 ... 14.098837  14.777657  12.344277 ]
 [ 8.421718   9.883055  12.947234  ... 12.365278  12.980921  13.181495 ]
 [10.323938  10.942615  10.942615  ... 14.829651  13.614704  13.212548 ]]"
89,"(20, 10)",200,0.1,0.07,"[[12.657863   9.421772  10.462917  ...  9.8893385 14.088672  13.757984 ]
 [13.034036  13.565338  12.493176  ... 10.32305   13.970069  12.749603 ]
 [11.127872  13.387073  18.051691  ... 13.540384  13.682181  13.9927025]
 ...
 [ 8.922732  12.547712   9.145341  ... 17.020391  14.996658  12.374221 ]
 [11.963391  11.533861  11.948313  ... 11.216034  14.446346  14.446346 ]
 [10.323938  11.807802  14.104271  ... 13.748171  15.151777  13.570965 ]]"
90,"(20, 10)",200,0.1,0.03,"[[10.475273  11.758182  12.457326  ... 16.944937  10.827001  10.837161 ]
 [12.57378   13.565338  14.022985  ... 10.675396  12.427218  11.859886 ]
 [11.210027  10.694132  17.67415   ... 12.924857  12.763075  12.763075 ]
 ...
 [11.487962  14.703105  14.703105  ... 12.346046  13.449079  14.264888 ]
 [ 7.6398315 11.533861  10.978699  ... 16.094244  10.139898  11.459093 ]
 [12.451264  15.10726   15.217376  ... 13.715042  12.84469   14.54492  ]]"
91,"(20, 10)",200,0.1,0.01,"[[13.077133  13.487953  12.241004  ... 11.153519   9.669323  12.931595 ]
 [13.987973  12.87574   15.774973  ... 12.661456  11.692639  16.07264  ]
 [11.127872  14.841456  14.841456  ... 13.960382  13.146261  11.124332 ]
 ...
 [ 8.503465  15.6711235 12.65762   ... 10.823876  12.6974745 15.874367 ]
 [11.364969  11.300897  13.988633  ... 12.6802635 12.25392   12.945112 ]
 [10.429977  11.779497  13.18671   ... 12.812775  14.071029  10.565336 ]]"
92,"(20, 10)",200,0.01,0.1,"[[ 9.241376  10.961659  14.842456  ... 12.519235   9.897165  13.310507 ]
 [12.57378   13.090638  12.691097  ... 12.338553  11.191845  11.1211195]
 [ 9.035666  13.387073   9.65021   ... 12.262465  11.765096  13.129662 ]
 ...
 [ 9.896934  11.061838  13.455971  ... 11.502346  11.204955  13.43086  ]
 [11.197533  13.428538  11.459485  ... 13.244999  10.732763  12.167951 ]
 [ 9.857304  14.442954  15.947067  ... 12.269602  17.461407  14.490052 ]]"
93,"(20, 10)",200,0.01,0.07,"[[12.657863 11.452492 10.683441 ... 10.939414 13.778352 12.5198  ]
 [12.57378  12.968647 12.691097 ... 15.947235 11.52525  12.43787 ]
 [ 9.035666 13.387073 13.387073 ... 14.041399 14.041399 12.073922]
 ...
 [ 9.896934 10.604725 12.166069 ... 12.969061 14.508098 10.902957]
 [11.963391  9.898958 14.336996 ... 13.738128 11.645249 17.658915]
 [ 9.857304 12.140595 13.575773 ... 12.937262 14.427706 11.780311]]"
94,"(20, 10)",200,0.01,0.03,"[[10.475273  10.911087  16.020754  ... 12.065009  10.34244   12.799081 ]
 [12.57378   13.3246765 12.259756  ...  9.813083  10.067875  13.499121 ]
 [11.210027  10.694132  13.947167  ... 11.140969  12.804592  14.745334 ]
 ...
 [11.609074   8.448801  13.942873  ... 13.648682  12.419501  11.441779 ]
 [10.60458   14.804116  13.118876  ... 11.312819  12.746813  13.953533 ]
 [13.873982  15.10726   11.405518  ... 11.689223  12.910833  14.887752 ]]"
95,"(20, 10)",200,0.01,0.01,"[[13.077133  13.099627  10.292386  ... 12.573727  11.733307  12.7387905]
 [13.987973  14.022545  11.015173  ... 13.921324  13.304783  16.669323 ]
 [10.610333  15.447963  11.770998  ... 13.279994  11.75131   17.821573 ]
 ...
 [11.609074  10.523737   8.992114  ... 11.653118  13.003606  13.906856 ]
 [10.60458   12.682384  11.011282  ... 16.090523  12.78944   13.504761 ]
 [10.429977  10.564576  11.802267  ... 10.622184   9.485174  12.115817 ]]"
96,"(40, 20)",50,10.0,0.1,"[[15.988074 15.988074 16.226242 ... 25.372873 25.372873 25.372873]
 [13.344256 16.29617  23.108465 ... 34.149166 34.149166 34.149166]
 [18.478764 23.719883 23.719883 ... 25.518959 25.518959 25.518959]
 ...
 [16.174084 19.823862 19.823862 ... 20.656351 20.656351 20.656351]
 [13.189974 14.712496 18.080616 ... 23.615662 23.615662 23.615662]
 [20.970453 25.42729  25.42729  ... 25.42729  25.42729  25.42729 ]]"
97,"(40, 20)",50,10.0,0.07,"[[15.988074 16.226242 16.226242 ... 23.052029 23.052029 23.052029]
 [13.344256 16.29617  23.108465 ... 34.149166 34.149166 34.149166]
 [18.478764 23.719883 23.719883 ... 25.518959 25.518959 25.518959]
 ...
 [16.174084 19.823862 19.823862 ... 27.312328 27.312328 27.312328]
 [13.189974 14.712496 18.080616 ... 23.615662 23.615662 23.615662]
 [16.390701 19.807316 19.807316 ... 28.609653 28.609653 28.609653]]"
98,"(40, 20)",50,10.0,0.03,"[[15.614303 15.988074 15.988074 ... 26.739634 26.739634 26.739634]
 [13.344256 14.024102 21.773636 ... 34.149166 34.149166 34.149166]
 [24.351656 24.351656 24.351656 ... 25.445265 24.74505  25.262396]
 ...
 [16.174084 16.925938 19.823862 ... 26.775864 26.775864 26.74907 ]
 [13.189974 14.712496 14.712496 ... 17.331886 21.581118 24.340181]
 [15.590521 17.328619 17.328619 ... 32.08748  32.08748  32.08748 ]]"
99,"(40, 20)",50,10.0,0.01,"[[15.614303 15.614303 15.614303 ... 17.760899 19.28167  21.844067]
 [10.726421 17.361256 20.596985 ... 26.48921  25.730099 25.730099]
 [19.176579 21.249683 22.964275 ... 14.739941 14.918828 17.723452]
 ...
 [18.13575  18.13575  18.13575  ... 23.148556 19.819637 16.373793]
 [13.435021 17.863031 18.614826 ... 18.929909 20.553799 21.389982]
 [18.276981 21.37114  21.37114  ... 20.082413 20.082413 20.573391]]"
100,"(40, 20)",50,1.0,0.1,"[[15.988074 15.988074 16.226242 ... 25.372873 25.372873 25.372873]
 [13.344256 16.29617  23.108465 ... 34.149166 34.149166 34.149166]
 [18.478764 23.719883 23.719883 ... 25.518959 25.518959 25.518959]
 ...
 [16.174084 19.823862 19.823862 ... 20.656351 20.656351 20.656351]
 [13.189974 21.197233 21.197233 ... 29.226717 29.226717 29.226717]
 [17.069502 21.915682 22.063515 ... 25.42729  25.42729  25.42729 ]]"
101,"(40, 20)",50,1.0,0.07,"[[15.988074 16.226242 16.353579 ... 24.428886 24.428886 24.428886]
 [13.344256 16.29617  23.108465 ... 34.149166 34.149166 34.149166]
 [18.478764 23.719883 23.719883 ... 25.518959 25.518959 25.518959]
 ...
 [16.174084 20.492813 20.492813 ... 31.34716  31.34716  31.34716 ]
 [13.189974 21.197233 21.197233 ... 29.226717 29.226717 29.226717]
 [16.390701 17.328619 17.328619 ... 29.261898 29.261898 29.261898]]"
102,"(40, 20)",50,1.0,0.03,"[[15.614303 16.07554  16.07554  ... 26.028784 26.028784 26.028784]
 [13.344256 14.024102 15.644974 ... 27.25808  27.25808  27.25808 ]
 [24.351656 24.351656 24.351656 ... 25.445265 25.445265 25.445265]
 ...
 [16.174084 16.925938 16.174084 ... 21.208694 21.208694 20.98564 ]
 [13.189974 14.712496 13.189974 ... 19.818974 19.818974 19.818974]
 [15.590521 17.671793 21.16482  ... 29.261898 29.261898 29.261898]]"
103,"(40, 20)",50,1.0,0.01,"[[15.614303 15.614303 15.614303 ... 23.795385 23.795385 24.652496]
 [10.713602 14.748066 14.748066 ... 25.902454 18.877556 18.877556]
 [19.176579 21.249683 21.249683 ... 20.203144 20.026636 25.717518]
 ...
 [18.13575  16.174084 16.174084 ... 23.13506  24.963943 20.559883]
 [13.435021 17.863031 18.614826 ... 25.00144  20.056412 28.101204]
 [18.276981 18.276981 18.226053 ... 21.897774 21.427166 12.946606]]"
104,"(40, 20)",50,0.1,0.1,"[[17.92713  24.801414 24.801414 ... 17.322773 17.322773 17.322773]
 [13.344256 14.750631 15.468146 ... 21.44777  19.372002 21.03415 ]
 [14.320183 14.946938 12.646917 ... 23.710892 23.710892 23.710892]
 ...
 [16.174084 16.925938 16.69305  ... 14.052616 13.894745 17.747913]
 [11.861989 12.750275 13.863813 ... 20.845684 20.845684 20.845684]
 [19.28718  19.28718  19.28718  ... 18.75678  24.237951 24.237951]]"
