,NK,population,softmax param,mutation rate,results
12,"(20, 3)",50,0.01,0.1,"[[ 9.341393  10.605509  11.312588  ...  9.636071  10.3492775  9.929439 ]
 [ 9.428742   6.9386525  4.7905264 ...  5.017577   8.139646   3.6746058]
 [ 7.67925   10.068607  11.836262  ...  7.971361   8.702193   9.146379 ]
 ...
 [11.064561  10.4020405 11.600969  ... 13.65197   12.802174  13.1101465]
 [11.311736  10.336738  10.203951  ... 10.477451  10.477451  15.5705595]
 [ 9.756855   7.0616946  8.372722  ...  8.848147  11.933681   9.003786 ]]"
13,"(20, 3)",50,0.01,0.07,"[[ 9.341393  10.120672  11.205242  ... 10.136539   9.519031  10.106118 ]
 [ 9.428742   6.9386525  5.890245  ...  9.062034   4.009109   7.0299916]
 [ 7.518921  10.082055  14.006019  ...  9.847501   6.177813   8.945357 ]
 ...
 [11.064561  10.4020405 13.3138685 ... 12.187992  13.733679   8.607069 ]
 [11.645735   9.352467   7.4841056 ... 12.206335  11.01793   13.807778 ]
 [ 9.756855   9.2519045  8.669423  ...  8.147956   8.034814  11.307103 ]]"
14,"(20, 3)",50,0.01,0.03,"[[10.686809   8.879628  10.697462  ...  6.9943595  9.477016   7.560819 ]
 [ 9.428742   7.8895197 10.961104  ...  5.773801   5.368959   7.682886 ]
 [11.209428   7.91368   11.957979  ...  6.306904   8.296189   8.870248 ]
 ...
 [11.580626  11.042941   9.91135   ...  8.851959  12.463055  13.45131  ]
 [11.311736   7.8747177 11.748122  ... 10.672214   8.112303   9.556011 ]
 [10.54044    9.878038   6.576919  ...  8.775243  10.42927    9.123887 ]]"
15,"(20, 3)",50,0.01,0.01,"[[10.886735   6.1889477  8.627772  ...  9.428101  11.742604   8.162225 ]
 [10.2935     9.229079   4.889514  ...  5.618886   7.2014112  6.8462486]
 [11.209428  10.351782  13.300385  ...  9.189507  10.282226   8.5557   ]
 ...
 [10.957063  11.042941  10.5816145 ...  9.566154  10.553702  10.762742 ]
 [11.311736   8.265224   9.542427  ...  9.759759  10.608526  12.491367 ]
 [11.73118    9.264208   8.926774  ... 11.80396    9.717592  11.290157 ]]"
16,"(20, 3)",100,10.0,0.1,"[[11.329604  11.329604  11.329604  ... 17.925531  17.925531  17.925531 ]
 [ 6.0197334  9.810048  10.392883  ... 14.596813  14.596813  14.596813 ]
 [12.934115  17.302687  18.319708  ... 18.374126  18.374126  18.374126 ]
 ...
 [12.450915  14.687243  14.987402  ... 19.56661   19.56661   19.56661  ]
 [14.464507  14.621633  14.887195  ... 17.750877  17.750877  17.750877 ]
 [11.30582   12.975904  12.975904  ... 12.975904  12.975904  12.975904 ]]"
17,"(20, 3)",100,10.0,0.07,"[[11.329604  11.329604  11.329604  ... 17.925531  17.925531  17.925531 ]
 [ 6.0197334  9.202715  10.384087  ... 15.077808  15.077808  15.077808 ]
 [12.934115  17.302687  18.319708  ... 18.374126  18.374126  18.374126 ]
 ...
 [12.450915  14.687243  14.912747  ... 19.56661   19.56661   19.56661  ]
 [14.464507  14.887195  14.887195  ... 16.622551  16.622551  16.622551 ]
 [11.30582   12.848484  12.975904  ... 12.975904  12.975904  12.975904 ]]"
18,"(20, 3)",100,10.0,0.03,"[[11.329604 11.329604 12.687487 ... 17.251753 17.251753 17.251753]
 [ 7.109787  9.567106 10.587159 ... 14.596813 14.596813 14.596813]
 [14.135052 14.249576 17.188162 ... 18.975525 18.975525 18.975525]
 ...
 [12.450915 14.687243 16.113451 ... 19.56661  19.56661  19.163132]
 [15.753367 15.753367 15.753367 ... 16.622551 16.622551 16.622551]
 [10.111691 12.848484 12.848484 ... 12.975904 12.848484 12.975904]]"
19,"(20, 3)",100,10.0,0.01,"[[12.699101  13.8195305 15.677235  ... 17.239416  16.902248  15.690163 ]
 [ 8.742965  10.5027685 11.562652  ... 12.901223  12.901223  12.901223 ]
 [14.135052  14.135052  15.987228  ... 16.912483  17.09476   16.989853 ]
 ...
 [12.502221  14.059003  13.638431  ... 18.38318   17.570433  18.835302 ]
 [15.753367  15.232365  14.530024  ... 16.008211  15.0561    14.618026 ]
 [10.111691  11.654354  11.654354  ... 15.394636  14.738016  14.827005 ]]"
20,"(20, 3)",100,1.0,0.1,"[[11.781165  11.439217  11.760438  ... 18.411892  18.411892  18.411892 ]
 [ 5.6384287  9.810048  10.564221  ... 15.077808  15.077808  15.077808 ]
 [12.934115  17.302687  18.374126  ... 18.374126  18.374126  18.374126 ]
 ...
 [12.450915  14.687243  16.113451  ... 19.56661   19.56661   19.56661  ]
 [13.732293  15.753367  15.753367  ... 17.750877  17.750877  17.750877 ]
 [11.30582   12.975904  12.975904  ... 12.975904  12.975904  12.975904 ]]"
21,"(20, 3)",100,1.0,0.07,"[[11.781165  15.096835  15.6603155 ... 17.925531  17.925531  17.925531 ]
 [ 5.6384287 10.392883  10.709293  ... 15.016821  15.016821  15.016821 ]
 [12.934115  17.302687  18.374126  ... 18.374126  18.374126  18.374126 ]
 ...
 [12.450915  14.687243  14.912747  ... 19.56661   19.56661   19.56661  ]
 [13.732293  15.753367  15.753367  ... 16.622551  16.622551  16.622551 ]
 [11.30582   11.901871  12.605833  ... 16.878551  16.878551  16.878551 ]]"
22,"(20, 3)",100,1.0,0.03,"[[11.090474  13.084312  15.096835  ... 17.925531  17.925531  17.925531 ]
 [ 6.7284813  9.324122  10.011579  ... 14.290207  14.290207  14.6756   ]
 [14.135052  14.249576  17.188162  ... 18.50181   18.50181   18.966423 ]
 ...
 [12.450915  12.427945  13.865772  ... 18.835302  19.297518  18.205282 ]
 [13.732293  14.621633  14.621633  ... 17.750877  17.750877  17.750877 ]
 [10.728005  11.654354  11.654354  ... 16.878551  16.878551  16.878551 ]]"
23,"(20, 3)",100,1.0,0.01,"[[11.090474 12.544535 12.409927 ... 16.556652 16.631636 17.43375 ]
 [ 8.742965 10.384087 10.384087 ... 12.474741 12.474741 12.474741]
 [14.135052 14.135052 12.677962 ... 12.530094 12.574989 15.341728]
 ...
 [12.502221 12.111677 13.886294 ... 19.56661  16.935976 16.7374  ]
 [13.732293 14.608243 14.511487 ... 17.64257  15.513711 13.401444]
 [10.583666 11.654354 11.654354 ... 15.364737 14.70893  13.225015]]"
24,"(20, 3)",100,0.1,0.1,"[[11.781165  11.781165  13.99549   ... 15.038942  12.488443  13.480369 ]
 [ 5.5589676  6.5115633  9.624221  ... 11.664776  11.664776  11.664776 ]
 [10.8839245 10.617944  15.257253  ... 14.711527  14.746483  13.97701  ]
 ...
 [11.704239  10.463967  11.9929285 ... 18.835302  12.108545  11.85612  ]
 [11.739735  13.732293  14.650622  ... 11.618673  11.727675  13.387634 ]
 [11.236737  10.408246  11.236737  ... 14.114266  12.630351  10.495367 ]]"
25,"(20, 3)",100,0.1,0.07,"[[11.781165  11.641081  10.938187  ... 11.41704   11.009827  11.74412  ]
 [ 9.428742   6.617278   7.4645357 ... 13.297301  11.590157  10.803333 ]
 [10.8839245 11.631687   9.077077  ... 15.2648735 15.2648735 17.742922 ]
 ...
 [11.704239  10.962884  10.052325  ... 17.157566  14.904347  15.22064  ]
 [11.739735  12.242633  10.18031   ... 11.041094   9.836566  13.078485 ]
 [11.236737  10.408246   9.456951  ... 10.459606   9.717592  10.653723 ]]"
26,"(20, 3)",100,0.1,0.03,"[[12.358499  10.48347   15.802484  ... 11.899931  12.886252  11.136541 ]
 [ 9.428742   7.7781005  9.584788  ...  8.865503  12.23825   10.615965 ]
 [10.190954  10.246619  18.784147  ... 12.226022   9.308368   8.797038 ]
 ...
 [10.911206  12.036951  11.811865  ... 13.9005575 13.035502  13.44157  ]
 [12.242633  13.391329  15.753367  ... 10.325514  10.545549  11.652288 ]
 [11.236737   7.964108   8.20264   ... 11.10461   12.075256   9.137731 ]]"
27,"(20, 3)",100,0.1,0.01,"[[13.179587  10.56646    9.148011  ... 11.592933  10.991125  12.053064 ]
 [ 8.601101  10.428639   7.913579  ... 12.123471   9.816978   9.816978 ]
 [10.190954   9.688955   9.773794  ...  9.923191  11.0928335 12.955876 ]
 ...
 [13.6098795 12.155811  13.343288  ...  9.449924  12.584996  12.363588 ]
 [12.242633  13.76081   13.501615  ...  9.998421  12.045412   9.461879 ]
 [11.236737  10.169966  10.343136  ...  7.0627203  9.924005   9.31984  ]]"
28,"(20, 3)",100,0.01,0.1,"[[11.781165  10.8446245 10.142848  ... 10.91048    9.5297985  9.188204 ]
 [ 5.5589676  5.5589676  8.636524  ...  8.571948   7.5633707  7.940462 ]
 [10.8839245  9.077077   8.2935    ...  8.221984  10.867646   9.785871 ]
 ...
 [11.704239  10.227002  12.164329  ... 11.41773   12.690959   9.93329  ]
 [11.739735  14.23519   13.885256  ... 12.189645  12.189645  11.685796 ]
 [11.236737  11.236737  11.236737  ...  7.120859   6.493886   8.477889 ]]"
29,"(20, 3)",100,0.01,0.07,"[[11.781165  11.641081  10.487198  ... 11.210555  14.9987755 10.719423 ]
 [ 9.428742   6.5809636  6.754339  ...  5.9210377  8.364067   9.148686 ]
 [10.8839245  7.831559   9.309697  ... 11.168064   7.4884205 11.158192 ]
 ...
 [11.704239  11.368203  14.003243  ... 11.987524   9.251604   8.433076 ]
 [11.739735  13.391329  11.626484  ... 10.2181015 10.733196   9.555931 ]
 [11.236737  11.236737   8.739811  ... 10.476291   7.5492554  8.761163 ]]"
30,"(20, 3)",100,0.01,0.03,"[[12.358499  10.46629   11.846486  ... 11.783422  10.758941  11.914374 ]
 [ 9.428742   7.4798017  8.7199    ...  7.9670553  7.3767138  5.6373224]
 [10.190954  10.246619  18.784147  ... 11.924219  10.708407   8.925713 ]
 ...
 [10.969028  12.164993  11.995932  ... 10.384166   9.374732  13.363934 ]
 [12.242633  13.391329  15.114891  ...  9.845901   8.993561  11.978295 ]
 [11.236737   8.08161    9.253654  ... 10.947327  12.033118   8.845897 ]]"
